"","OurSampleID","River","Riv","RepID","Fe","Co","Cu","Zn","Cd","Pb","As","Fe1","Co1","Cu1","Zn1","Cd1","Pb1","As1","TUCo","TUCu","TUZn","TUCda","TUCdb","TUCdc","TUPb","TUAs","TU_b","TU_c","TU_a"
"1","Abeek1","Abeek","abe","abe1",103.59,5.458,1.481,20.973,0.085,0.077,0.536,1.8549556809025,0.0926136460047851,0.0233059515941208,0.320786173141634,0.00075616048394271,0.000371621621621622,0.00715429791777896,10.9154443181243,0.211551452041491,1.04865,0.944492235751573,0.566667029333565,0.340000217600139,0.0106944444444444,0.178666666666666,12.9316739106105,12.7050070988771,13.3094991170285
"2","Abeek2","Abeek","abe","abe2",116.973,5.56,0.649,19.506,0.09,0.114,0.477,2.09460112812248,0.0943444250250284,0.0102130739936424,0.298348118690731,0.000800640512409928,0.00055019305019305,0.00636679124399359,11.1194339334502,0.0927055316508625,0.975300000000002,1.00005060256049,0.600000384000246,0.360000230400147,0.0158333333333332,0.158999999999999,12.9622731824346,12.7222730288345,13.3623234009949
"3","Witbeek1","Witbeek","wit","wit1",318.197,0.096,0.607,29.75,0.077,0.321,0.317,5.69786014862566,0.00162896848964078,0.00955213546092594,0.455032119914347,0.000684992438395161,0.0015492277992278,0.0042311799252536,0.191990226189068,0.0867060981696048,1.4875,0.855598848857308,0.513333661866877,0.308000197120126,0.044583333333333,0.105666666666666,2.42977998622555,2.2244465214788,2.77204517321598
"4","Witbeek2","Witbeek","wit","wit2",199.807,0.11,0.553,8.856,0.027,0.321,0.35,3.57788521801415,0.00186652639438006,0.00870235734743336,0.135454267360049,0.000240192153722978,0.0015492277992278,0.00467164975974373,0.219988800841641,0.0789925408365593,0.442800000000001,0.300015180768147,0.180000115200074,0.108000069120044,0.044583333333333,0.116666666666666,1.08303145687827,1.01103141079824,1.20304652244635
"5","Jeker1","Jeker","jek","jek1",9.41,0.302,6.391,5.243,0.007,0.228,1.396,0.168502104037962,0.00512446337366162,0.100572813395021,0.0801927194860814,6.22720398541055e-05,0.0011003861003861,0.0186332087560064,0.603969253219777,0.912913794731375,0.26215,0.0777817135324825,0.0466666965333525,0.0280000179200115,0.0316666666666664,0.465333333333331,2.3226997444845,2.30403306587116,2.35381476148363
"6","Jeker2","Jeker","jek","jek2",8.546,0.249,0.683,4.675,0.012,0.187,1.297,0.153030710000895,0.00422513702000577,0.0107481194725081,0.0715050474151117,0.000106752068321324,0.000902509652509653,0.017311799252536,0.497974649177896,0.0975622158975949,0.23375,0.133340080341399,0.0800000512000328,0.0480000307200197,0.025972222222222,0.432333333333331,1.36759247183108,1.33559245135106,1.42093250097244
