FishID,River,Riv,Gender,StandardLength,TotalLength,Weight,FultonsCF,MuscleAChE,MuscleProt,MuscleGlyc,MuscleLip,MuscleProt_J,MuscleGlyc_J,MuscleLip_J,TotE,MT_RQM,CYP450_RQM,GST_RQM,CAT_RQM,LiverHg,LiverFe,LiverCo,LiverCu,LiverZn,LiverCd,LiverPb,LiverAs,MuscleHg,MuscleZn,MuscleAs,Inv_Hg,Inv_Fe,Inv_Co,Inv_Cu,Inv_Zn,Inv_Cd,Inv_Pb,Inv_As,WaterFe,WaterCo,WaterCu,WaterZn,WaterCd,WaterPb,WaterAs,SedimentHg,SedimentFe,SedimentCo,SedimentCu,SedimentZn,SedimentCd,SedimentPb,SedimentAs
1,Jeker,jek,female,49.95,57.58,2.35,1.8857,0.280552152,96.90375566,0.191347558,53.2373063,2325.69013584,3.348582265,2102.87359885,4431.912316955,0.605239043,0.32333731,0.42967133,0.464695226,1.535092494,2547.934563,3.697671406,224.0945154,2822.270203,2.359987407,5.327171025,4.900327759,2.04970111,2134.38114,21.63118055,0.280310584,12109.40997,4.258586021,1444.54411,2376.070664,0.174128191,6.587837838,33.26793198,0.160766407,0.0046748,0.055660466,0.075848883,8.45113E-05,0.001001448,0.01797212,0.001078766,372.71239,0.12133452,0.7036888,6.6197384,0.010876711,0.2735331,0.09356347
2,Jeker,jek,male,44.33,52.23,1.85,2.1236,0.448489486,64.80484544,0.623873908,33.81895678,1555.31629056,10.91779339,1335.84879281,2902.08287676,0.619036026,2.87704404,1.599853016,0.879625639,0.844314507,6727.283417,32.7610939,1288.744126,3144.888025,1.581954607,4.863408443,28.03032747,3.453938235,5409.885419,56.86231409,0.280310584,12109.40997,4.258586021,1444.54411,2376.070664,0.174128191,6.587837838,33.26793198,0.160766407,0.0046748,0.055660466,0.075848883,8.45113E-05,0.001001448,0.01797212,0.001078766,372.71239,0.12133452,0.7036888,6.6197384,0.010876711,0.2735331,0.09356347
3,Jeker,jek,male,48.42,53.43,2,1.7618,0.259337072,64.19942801,0.011433694,27.98053528,1540.78627224,0.200089645,1105.23114356,2646.217505445,12.26196426,1.207157946,2.365435788,0.83646166,3.86394013,,,,,,,,2.290955847,2846.001971,18.20198603,0.280310584,12109.40997,4.258586021,1444.54411,2376.070664,0.174128191,6.587837838,33.26793198,0.160766407,0.0046748,0.055660466,0.075848883,8.45113E-05,0.001001448,0.01797212,0.001078766,372.71239,0.12133452,0.7036888,6.6197384,0.010876711,0.2735331,0.09356347
4,Jeker,jek,female,48.41,48.84,1.85,1.6307,0.200186604,79.75716838,0.556663083,30.21114927,1914.17204112,9.7416039525,1193.340396165,3117.2540412375,1.004928456,1.436351688,0.756903861,0.623130663,1.030967939,2696.094034,4.928496563,1716.037473,3042.309734,3.741400459,2.713876288,9.583317296,2.048897542,2128.457588,28.06061756,0.280310584,12109.40997,4.258586021,1444.54411,2376.070664,0.174128191,6.587837838,33.26793198,0.160766407,0.0046748,0.055660466,0.075848883,8.45113E-05,0.001001448,0.01797212,0.001078766,372.71239,0.12133452,0.7036888,6.6197384,0.010876711,0.2735331,0.09356347
5,Jeker,jek,male,43.5,49.74,1.4,1.7008,0.099035002,120.999319,0.125401284,54.7460206,2903.983656,2.19452247,2162.4678137,5068.64599217,37.15622628,114.2542515,15.82836774,3.236011692,0.738561983,5674.60199,11.31224375,1135.660257,2279.126021,3.130048232,5.496567997,7.909502635,4.039761793,11535.82484,57.39390679,0.280310584,12109.40997,4.258586021,1444.54411,2376.070664,0.174128191,6.587837838,33.26793198,0.160766407,0.0046748,0.055660466,0.075848883,8.45113E-05,0.001001448,0.01797212,0.001078766,372.71239,0.12133452,0.7036888,6.6197384,0.010876711,0.2735331,0.09356347
6,Jeker,jek,female,47.44,54.12,1.75,1.6391,0.134022997,99.7859786,0.479333648,44.63146315,2394.8634864,8.38833884,1762.942794425,4166.194619665,0.598740359,0.49197369,0.440518204,0.476150598,0.953802549,1775.391774,4.75899018,1807.975539,2281.603885,0.870339687,1.920199815,9.721266487,3.47897084,2472.658064,71.79829686,0.280310584,12109.40997,4.258586021,1444.54411,2376.070664,0.174128191,6.587837838,33.26793198,0.160766407,0.0046748,0.055660466,0.075848883,8.45113E-05,0.001001448,0.01797212,0.001078766,372.71239,0.12133452,0.7036888,6.6197384,0.010876711,0.2735331,0.09356347
7,Jeker,jek,female,50.78,57.14,2.2,1.6801,0.084159482,98.89249795,,24.59104606,2373.4199508,0,971.34631937,3344.76627017,0.449808653,1.15117892,1.179963705,0.051407953,1.235791036,2416.704743,2.80416183,1193.191314,2678.36857,0.980083301,2.49243207,25.45801535,1.910464929,1581.885636,86.29081065,0.280310584,12109.40997,4.258586021,1444.54411,2376.070664,0.174128191,6.587837838,33.26793198,0.160766407,0.0046748,0.055660466,0.075848883,8.45113E-05,0.001001448,0.01797212,0.001078766,372.71239,0.12133452,0.7036888,6.6197384,0.010876711,0.2735331,0.09356347
8,Jeker,jek,female,48.79,55.9,1.9,1.6359,0.145477529,93.13350925,0.206795707,30.13747245,2235.204222,3.6189248725,1190.430161775,3429.2533086475,0.786982846,2.255930343,2.470823284,2.073924827,0.777847195,3964.93136,5.883436464,1102.184262,2324.215114,1.850689212,3.179471265,7.481772439,1.128415472,3249.721428,24.79291673,0.280310584,12109.40997,4.258586021,1444.54411,2376.070664,0.174128191,6.587837838,33.26793198,0.160766407,0.0046748,0.055660466,0.075848883,8.45113E-05,0.001001448,0.01797212,0.001078766,372.71239,0.12133452,0.7036888,6.6197384,0.010876711,0.2735331,0.09356347
9,Jeker,jek,female,48.38,55.17,1.45,1.2805,0.309191826,103.2068928,,45.97536977,2476.9654272,0,1816.027105915,4292.992533115,4.427885845,0.453539727,1.144461806,0.680118401,1.492196659,2147.684036,5.383704575,502.3047207,3050.057955,1.384617684,5.576130066,7.191190661,1.690104424,1377.062204,27.54244007,0.280310584,12109.40997,4.258586021,1444.54411,2376.070664,0.174128191,6.587837838,33.26793198,0.160766407,0.0046748,0.055660466,0.075848883,8.45113E-05,0.001001448,0.01797212,0.001078766,372.71239,0.12133452,0.7036888,6.6197384,0.010876711,0.2735331,0.09356347
10,Jeker,jek,male,49.1,57.88,1.8,1.5206,0.096300722,103.3445933,0.060763383,48.77841296,2480.2702392,1.0633592025,1926.74731192,4408.0809103225,3.866140599,6.985270784,4.510616077,2.317915235,1.285270951,2484.058058,28.19223246,,3003.182782,5.351455818,5.852671868,12.99970013,2.220430445,4942.581931,35.45433664,0.280310584,12109.40997,4.258586021,1444.54411,2376.070664,0.174128191,6.587837838,33.26793198,0.160766407,0.0046748,0.055660466,0.075848883,8.45113E-05,0.001001448,0.01797212,0.001078766,372.71239,0.12133452,0.7036888,6.6197384,0.010876711,0.2735331,0.09356347
