SampleID,River,Riv,Region,Taxon,Taxon_ID,Metal,Metal_Type,Concentration_nmolperg
13,Witbeek,wit,Maas,Ephemeroptera-Baetis,Baet,Cu,Essential,1039.24716
14,Witbeek,wit,Maas,Ephemeroptera-Baetis,Baet,Cu,Essential,969.3765147
15,Jeker,jek,Maas,Isopoda-Asselus,Asel,Cu,Essential,2385.830737
16,Jeker,jek,Maas,Isopoda-Asselus,Asel,Cu,Essential,2715.513172
17,Jeker,jek,Maas,Isopoda-Asselus,Asel,Cu,Essential,2556.730557
18,Jeker,jek,Maas,Isopoda-Asselus,Asel,Cu,Essential,2523.368898
1,Abeek,abe,Maas,Isopoda-Asselus,Asel,Zn,Essential,1801.315387
2,Abeek,abe,Maas,Isopoda-Asselus,Asel,Zn,Essential,1756.194555
3,Abeek,abe,Maas,Isopoda-Asselus,Asel,Zn,Essential,1673.600489
4,Abeek,abe,Maas,Isopoda-Asselus,Asel,Zn,Essential,1994.034873
5,Abeek,abe,Maas,Chironomids,Chir,Zn,Essential,7688.742735
6,Abeek,abe,Maas,Chironomids,Chir,Zn,Essential,5726.063016
7,Abeek,abe,Maas,Chironomids,Chir,Zn,Essential,6271.642704
8,Abeek,abe,Maas,Chironomids,Chir,Zn,Essential,6534.567146
9,Witbeek,wit,Maas,Gammarus,Gamm,Zn,Essential,876.5677577
10,Witbeek,wit,Maas,Gammarus,Gamm,Zn,Essential,1124.655858
11,Witbeek,wit,Maas,Gammarus,Gamm,Zn,Essential,1047.26216
12,Witbeek,wit,Maas,Gammarus,Gamm,Zn,Essential,1134.750688
13,Witbeek,wit,Maas,Ephemeroptera-Baetis,Baet,Zn,Essential,25761.85378
14,Witbeek,wit,Maas,Ephemeroptera-Baetis,Baet,Zn,Essential,25602.32487
15,Jeker,jek,Maas,Isopoda-Asselus,Asel,Zn,Essential,2015.754053
16,Jeker,jek,Maas,Isopoda-Asselus,Asel,Zn,Essential,2309.26889
17,Jeker,jek,Maas,Isopoda-Asselus,Asel,Zn,Essential,2614.408076
18,Jeker,jek,Maas,Isopoda-Asselus,Asel,Zn,Essential,2475.068828
1,Abeek,abe,Maas,Isopoda-Asselus,Asel,Cd,NonEssential,12.66755627
2,Abeek,abe,Maas,Isopoda-Asselus,Asel,Cd,NonEssential,13.68321324
3,Abeek,abe,Maas,Isopoda-Asselus,Asel,Cd,NonEssential,16.90436794
4,Abeek,abe,Maas,Isopoda-Asselus,Asel,Cd,NonEssential,14.86700471
5,Abeek,abe,Maas,Chironomids,Chir,Cd,NonEssential,24.86166711
6,Abeek,abe,Maas,Chironomids,Chir,Cd,NonEssential,21.11351303
7,Abeek,abe,Maas,Chironomids,Chir,Cd,NonEssential,22.32248021
8,Abeek,abe,Maas,Chironomids,Chir,Cd,NonEssential,26.72982831
9,Witbeek,wit,Maas,Gammarus,Gamm,Cd,NonEssential,3.158971622
10,Witbeek,wit,Maas,Gammarus,Gamm,Cd,NonEssential,4.075616048
11,Witbeek,wit,Maas,Gammarus,Gamm,Cd,NonEssential,4.648251935
12,Witbeek,wit,Maas,Gammarus,Gamm,Cd,NonEssential,4.307356997
13,Witbeek,wit,Maas,Ephemeroptera-Baetis,Baet,Cd,NonEssential,26.3683836
14,Witbeek,wit,Maas,Ephemeroptera-Baetis,Baet,Cd,NonEssential,9.961302375
15,Jeker,jek,Maas,Isopoda-Asselus,Asel,Cd,NonEssential,0.960412775
16,Jeker,jek,Maas,Isopoda-Asselus,Asel,Cd,NonEssential,0.432612757
17,Jeker,jek,Maas,Isopoda-Asselus,Asel,Cd,NonEssential,0
18,Jeker,jek,Maas,Isopoda-Asselus,Asel,Cd,NonEssential,0
1,Abeek,abe,Maas,Isopoda-Asselus,Asel,Pb,NonEssential,3.667953668
2,Abeek,abe,Maas,Isopoda-Asselus,Asel,Pb,NonEssential,2.895752896
3,Abeek,abe,Maas,Isopoda-Asselus,Asel,Pb,NonEssential,2.22007722
4,Abeek,abe,Maas,Isopoda-Asselus,Asel,Pb,NonEssential,3.185328185
5,Abeek,abe,Maas,Chironomids,Chir,Pb,NonEssential,28.18532819
6,Abeek,abe,Maas,Chironomids,Chir,Pb,NonEssential,25.33783784
7,Abeek,abe,Maas,Chironomids,Chir,Pb,NonEssential,25.48262548
8,Abeek,abe,Maas,Chironomids,Chir,Pb,NonEssential,23.45559846
9,Witbeek,wit,Maas,Gammarus,Gamm,Pb,NonEssential,0.772200772
10,Witbeek,wit,Maas,Gammarus,Gamm,Pb,NonEssential,1.351351351
11,Witbeek,wit,Maas,Gammarus,Gamm,Pb,NonEssential,0.868725869
12,Witbeek,wit,Maas,Gammarus,Gamm,Pb,NonEssential,1.158301158
13,Witbeek,wit,Maas,Ephemeroptera-Baetis,Baet,Pb,NonEssential,4.247104247
14,Witbeek,wit,Maas,Ephemeroptera-Baetis,Baet,Pb,NonEssential,3.523166023
15,Jeker,jek,Maas,Isopoda-Asselus,Asel,Pb,NonEssential,12.4034749
16,Jeker,jek,Maas,Isopoda-Asselus,Asel,Pb,NonEssential,14.23745174
17,Jeker,jek,Maas,Isopoda-Asselus,Asel,Pb,NonEssential,16.36100386
18,Jeker,jek,Maas,Isopoda-Asselus,Asel,Pb,NonEssential,7.77027027
1,Abeek,abe,Maas,Isopoda-Asselus,Asel,As,NonEssential,61.93107498
2,Abeek,abe,Maas,Isopoda-Asselus,Asel,As,NonEssential,47.51608339
3,Abeek,abe,Maas,Isopoda-Asselus,Asel,As,NonEssential,52.98844131
4,Abeek,abe,Maas,Isopoda-Asselus,Asel,As,NonEssential,61.13024212
5,Abeek,abe,Maas,Chironomids,Chir,As,NonEssential,80.75064734
6,Abeek,abe,Maas,Chironomids,Chir,As,NonEssential,70.33982008
7,Abeek,abe,Maas,Chironomids,Chir,As,NonEssential,78.08120445
8,Abeek,abe,Maas,Chironomids,Chir,As,NonEssential,68.87162649
9,Witbeek,wit,Maas,Gammarus,Gamm,As,NonEssential,27.22831745
10,Witbeek,wit,Maas,Gammarus,Gamm,As,NonEssential,34.70275753
11,Witbeek,wit,Maas,Gammarus,Gamm,As,NonEssential,32.16678679
12,Witbeek,wit,Maas,Gammarus,Gamm,As,NonEssential,29.23039962
13,Witbeek,wit,Maas,Ephemeroptera-Baetis,Baet,As,NonEssential,12.14596514
14,Witbeek,wit,Maas,Ephemeroptera-Baetis,Baet,As,NonEssential,37.906089
15,Jeker,jek,Maas,Isopoda-Asselus,Asel,As,NonEssential,60.86329783
16,Jeker,jek,Maas,Isopoda-Asselus,Asel,As,NonEssential,64.33357358
17,Jeker,jek,Maas,Isopoda-Asselus,Asel,As,NonEssential,65.53482288
18,Jeker,jek,Maas,Isopoda-Asselus,Asel,As,NonEssential,64.46704573
